cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2021,CORP,70972291,,5,0.0113,5,0.0113,104003,200006.9,176005.9,128461.9,0,1
12/31/2021,CORP,84450978,,4,0.0059,4,0.0059,2420140,3385320,3144024,1751502.56,0,1
12/31/2021,CORP,41613659,,6,0.0226,7,0.0453,65529.4,65529.4,65529.4,53711.9,0,1
12/31/2021,CORP,30374985,,4,0.0042,4,0.0042,40501.6,200000,40000.09,22527.96,0,1
12/31/2021,CORP,41238201,,1,0.000917,1,0.000917,10574188,12574188,7369098,2016749,0,1
12/31/2021,CORP,18663086,,7,0.0369,7,0.0369,365419.69,606397.18,451068.44,378189.0345,0,1
12/31/2021,CORP,63796289,,-1,1,12,1,6838.35,6838.35,6838.35,0,0,0
12/31/2021,CORP,20479115,,3,0.0028,3,0.0028,381163.67,600014.04,477773.99,187446.197,0,1
12/31/2021,CORP,89313365,,6,0.0289,6,0.0289,3982590,5150610,4858601,6123007,0,1
12/31/2021,CORP,57531793,,4,0.0054,4,0.0054,681087.8,746955.8,730488.8,353472.1,0,1
12/31/2021,CORP,84260590,,4,0.0057,2,0.0014,112874300,229279400,200178100,82046780,0,1
12/31/2021,CORP,93413179,,3,0.0034,3,0.0034,130619.56,2200129.56,1682751.56,500630.2677,0,1
12/31/2021,CORP,51390896,,3,0.003956,4,0.0057,8068210,8068210,8068210,6780360,0,1
12/31/2021,CORP,74829680,,6,0.025557,6,0.025557,4244840,4742936,4618412,4077771,0,1
12/31/2021,CORP,28923226,,-1,1,10,1,606312,615946.3,613537.73,0,0,0
12/31/2021,CORP,79935606,,8,0.0844,8,0.0844,14053330.9,19529375.66,17410364.52,25684407.93,0,1
12/31/2021,CORP,47952246,,2,0.001539,2,0.001539,0,326001,217333.3,46335.7,0,1
12/31/2021,CORP,51342329,,4,0.0047,4,0.0047,0,160000,120000,67583.9,0,1
12/31/2021,CORP,93184912,,5,0.0127,5,0.0127,278909.1,376338.7,351981.3,192277.7,0,1
12/31/2021,CORP,47773413,,4,0.0061,6,0.0226,42875.7,442875.7,342875.7,295773.9,0,1
12/31/2021,CORP,84384582,,2,0.0016,3,0.0028,391757,691756.6,616757.4,232178.2,0,1
12/31/2021,CORP,72713760,,2,0.0015,2,0.0015,56854.6,89854.6,81604.6,17398.22,0,1
12/31/2021,CORP,17046337,,5,0.0093,5,0.0093,103737,106226.49,105604.12,77077.56,0,1
12/31/2021,CORP,47125455,,7,0.045356,8,0.0905,2798677,3108601,3031120,3449331,0,1
12/31/2021,CORP,44989592,,4,0.0057,5,0.0113,0,400000,300000,329176,0,1
